Título,Enlace,Votos_Texto,Clics_Texto,Votos,Clics,Ratio_Validacion_%,¿Es_Bulo_Sospechoso?
Joan Collins: impactantes retratos del rodaje de «Tierra de faraones» (1955) [ENG],http://www.vintag.es/2026/06/joan-collins-land-of-the-pharaohs.html,48,1773 clics,48,1773,2.705749718151071,True
"""Atropellado en León un anciano de 45 años a la altura de Mariano Andrés"".",https://www.meneame.net/story/atropellado-leon-anciano-45-anos-altura-mariano-andres-tpm,194,10763 clics,194,10763,1.8023039762170197,True
