Título,Enlace_Origen,Descripción,Votos_Original,Clics_Original,Fuente_Monitoreo,Votos_Numerico,Clics_Numerico,Ratio_Validacion_%,Contiene_Palabra_Clave,¿Es_Sospechosa?
Asturias recupera una guía de 1905 para vivir su primer eclipse total en 121 años,https://www.lavozdeasturias.es/noticia/asturias/2026/06/25/asturias-recupera-guia-1905-vivir-primer-eclipse-total-121-anos/00031782400331043949952.htm,"El libro recupera en formato facsímil las dieciséis páginas originales y las completa con dos artículos de los investigadores Javier de Cos y Noemí Pinilla-Alonso, en los que se explica qué se va a ver y cómo observarlo con seguridad, según ha informado este jueves la universidad en una nota de prensa.",15,53 clics,Menéame Portada - Pág 1,15,53,27.77777777777778,False,False
El papel de la CIA y la OTAN en la caída de Adolfo Suárez,https://diario-octubre.com/2026/06/22/el-papel-de-la-cia-y-la-otan-en-la-caida-de-adolfo-suarez/,"Adolfo Suárez, presidente del Gobierno desde 1976, había liderado la reestructuración del Estado franquista tras la muerte del dictador. Sin embargo, su política exterior adoptó un giro neutralista que alarmó a Washington y a los sectores más conservadores de la OTAN. El enfrentamiento con Washington alcanzó su punto culminante el 14 de enero de 1980, cuando Suárez se reunió con el presidente Jimmy Carter. Carter le ofreció su apoyo para la entrada de España en la OTAN, pero Suárez lo rechazó. La prensa española interpretó el comunicado final",47,209 clics,Menéame Portada - Pág 1,47,209,22.380952380952383,False,False
Indignación en la audiencia ante las reiteradas entrevistas de Ana Rosa a Ayuso: “¿Tiene sección?”,https://www.elplural.com/extratele/indignacion-audiencia-reiteradas-entrevistas-ana-rosa-ayuso-tiene-seccion_393964102,"Para entender el monumental enfado que ha inundado plataformas como X, basta con repasar el contexto que sobrevuela esta alianza mediática: la presidenta madrileña ha concedido 16 entrevistas a este espacio en apenas tres años y medio, un récord de asiduidad que coincide en el tiempo con los más de 11,5 millones de euros de dinero público que el Gobierno regional ha inyectado, a través de Telemadrid, en Unicorn Content, la productora propiedad de la presentadora.",137,156 clics,Menéame Portada - Pág 1,137,156,87.26114649681529,False,False
Detenidas una exedil del PP y su hija acusadas de apropiarse de 25.000 € de una entidad de Alzheimer,https://www.elconfidencial.com/espana/castilla-y-leon/2026-06-24/detenidas-exedil-pp-hija-acusadas-apropiarse-dinero-entidad-alzheimer_4377664/,"La detención de la exconcejala del PP de Palencia y presidenta de la asociación de Alzheimer de la provincia, Milagros Carvajal, acusada de presunta apropiación indebida de fondos de la institución para afrontar gastos personales, ha causado una honda conmoción en las asociaciones del tercer sector. Junto a ella fue detenida su hija, Rebeca González, directora de la asociación, por los mismos hechos. Los investigadores creen que ambas desviaron no menos de 25.000 euros a lo largo de varios años, aunque la cifra final podría ser muy superior.",116,114 clics,Menéame Portada - Pág 1,116,114,100.8695652173913,False,False
España envía a la UME a Venezuela para ayudar en el trabajo tras los terremotos,https://www.infobae.com/espana/2026/06/25/espana-envia-a-la-ume-a-venezuela-para-ayudar-en-el-trabajo-tras-los-terremotos-que-ya-han-dejado-32-muertos-y-700-heridos/,"El ministro de Asuntos Exteriores español, José Manuel Albares, ha mantenido una conversación telefónica con el canciller de Venezuela, Yvan Gil, poco antes de partir hacia México junto al rey Felipe VI. Durante el contacto, Albares ha expresado la “solidaridad de España” y ha ofrecido su ayuda a través de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) y de la Unidad Militar de Emergencias (UME). Fuentes de Defensa confirman a Infobae que se va a realizar un despliegue.",151,149 clics,Menéame Portada - Pág 1,151,149,100.66666666666666,False,False
Imágenes aéreas del desastre que deja el terremoto en Venezuela,https://www.laregion.es/mundo/video-estremecedoras-imagenes-aereas-desastre-terremoto-venezuela_1_20260625-4330332.html,"Las impactantes imágenes aéreas muestran la magnitud de la destrucción en la ciudad costera de La Guaira, una de las zonas más afectadas por el doble terremoto que sacudió Venezuela y que deja al menos 188 fallecidos y más de 1.500 heridos, según el último balance oficial.  Las fotos, captadas tras el paso de los sismos de magnitudes 7,2 y 7,5 con apenas 39 segundos de diferencia, revelan barrios enteros reducidos a escombros, infraestructuras colapsadas y calles cubiertas de restos, polvo y estructuras derrumbadas.",79,1940 clics,Menéame Portada - Pág 1,79,1940,4.070066975785677,False,False
Telefónica da un ultimátum a los que conectan equipos no oficiales a su fibra. O restituyen su router o perderán el servicio,https://bandaancha.eu/articulos/aviso-excepcional-telefonica-conectan-11821,"La libertad de poner equipos independientes conectados a la red de fibra de Movistar llega a su fin. Movistar está enviando un aviso a los usuarios que no utilizan sus equipos oficiales, notificando una medida drástica que supone perder la conexión si no se restituye el equipo original. El ONT es el primer aparato dentro de casa al que llega la luz láser de la fibra. Su función es convertir la señal óptica en una señal Ethernet para que la entienda el router. Aunque hace años Telefónica usaba ONT y router por separado...",84,1210 clics,Menéame Portada - Pág 1,84,1210,6.9364161849710975,False,False
"Hola, personas que están en contra de la eutanasia",https://www.meneame.net/story/hola-personas-estan-contra-eutanasia,"No voy a dar datos de filiación ni antecedentes personales muy específicos para preservar su anonimato, además de por ser obligatorio preservar su confidencialidad. Se trata un varón que no llega a los 60 años con un carcinoma estadío IV en progresión y múltiples metástasis diagnosticado hace unos meses y que oncología recientemente ha dicho ya que dado lo avanzado de la enfermedad no es candidato ni siquiera para quimioterapia paliativa, únicamente control sintomático, por lo que derivan a …",133,3049 clics,Menéame Portada - Pág 1,133,3049,4.360655737704918,False,False
Joan Collins: impactantes retratos del rodaje de «Tierra de faraones» (1955) [ENG],http://www.vintag.es/2026/06/joan-collins-land-of-the-pharaohs.html,"Mucho antes de convertirse en la villana televisiva por excelencia de los años 80, una Joan Collins de 21 años conquistó Hollywood en el fastuoso épico histórico de Howard Hawks, «Tierra de faraones» (1955). Estos impactantes retratos del rodaje capturan a Collins en el deslumbrante amanecer de su estrellato internacional, encarnando a la traicionera pero fascinante princesa Nellifer. Vestida con magníficas interpretaciones del Hollywood de mediados de siglo de la alta costura del antiguo Egipto, irradiaba una sensualidad felina.",44,1654 clics,Menéame Portada - Pág 1,44,1654,2.6586102719033233,False,True
El Estado español se sitúa a la cola de la UE en días de baja a cargo de la empresa,https://diariosocialista.net/2026/06/25/el-estado-espanol-se-situa-a-la-cola-de-la-ue-en-dias-de-baja-a-cargo-de-la-empresa/,"Mientras la Patronal criminaliza a los trabajadores mezclando absentismo y bajas, las empresas españolas costean solo 12 días frente a las seis semanas de Alemania, o los dos años de Países Bajos.",303,375 clics,Menéame Portada - Pág 1,303,375,80.58510638297872,False,False
