Categoria,Título,Descripción,Enlace,Fecha_Publicacion,Señales_de_Sensacionalismo,¿Tiene_Señales?
Política,<![CDATA[JEE inician proclamación descentralizada de resultados de la segunda vuelta presidencial]]>,"Los Jurados Electorales Especiales (JEE) a nivel nacional comienzan este jueves 25 de junio con la proclamación paulatina de sus resultados de las elecciones presidenciales que se llevaron a cabo en la segunda vuelta entre Keiko Fujimori, de Fuerza Popular; y Roberto Sánchez, de Juntos por el Perú.",,,Ninguna,False
Política,<![CDATA[PerúCheck: La normativa electoral sí permite que personal de Cancillería integre mesas de sufragio en el extranjero ]]>,,,,Ninguna,False
Política,<![CDATA[PerúCheck: El Congreso sí ha aprobado bonificaciones extraordinarias para congresistas y trabajadores ]]>,PerúCheck: El Congreso sí ha aprobado bonificaciones extraordinarias para congresistas y trabajadores,,,Ninguna,False
Política,"<![CDATA[El último tramo: un centenar de actas pendientes, pero que ya no alcanza para revertir el resultado]]>","El reloj electoral aún sigue corriendo, pero el desenlace parece estar ya escrito. Mientras el JNE continúa resolviendo las actas observadas y recursos, la ONPE incorpora progresivamente esas decisiones al cómputo oficial. Sin embargo, el tablero electoral aparece prácticamente definido, en medio de una serie de reveses de los recursos planteados por Juntos por el Perú (JP).",,,Ninguna,False
Política,<![CDATA[JNE entrega credenciales a los senadores electos para el período 2026-2031]]>,,,,Ninguna,False
Política,<![CDATA[Denuncia constitucional contra canciller carece de sustento advierten expertos: el trámite que seguirá en el Congreso]]>,"A través de uno de sus personeros, el partido Juntos por el Perú (JP), que encabeza el candidato presidencial Roberto Sánchez, formuló una denuncia constitucional ante el Congreso contra el actual canciller Carlos Pareja.",,,Ninguna,False
Política,<![CDATA[JNE entregó credenciales a senadores y parlamentarios andinos electos ]]>,EN VIVO | JNE entrega credenciales a senadores y parlamentarios andinos electos en las Elecciones 2026,,,Ninguna,False
Política,<![CDATA[Rafael López Aliaga no ocude a ceremonia oficial de entrega de credenciales como senador electo]]>,,,,Ninguna,False
Política,<![CDATA[Roberto Burneo: “Estimamos que (proclamación de la segunda vuelta) será el viernes 03 de julio”]]>,,,,Ninguna,False
Política,<![CDATA[Keiko Fujimori expresa solidaridad con Venezuela tras los terremotos del 24 de junio]]>,"Keiko Fujimori, candidata presidencial de Fuerza Popular, expresó su respaldo al pueblo de Venezuela luego de los potentes sismos registrados el pasado 24 de junio, en publicaciones por redes sociales donde envió sus condolencias a los ciudadanos afectados por el desastre natural que ha dejado, según balances oficiales, un saldo de 164 fallecidos y 971 heridos.",,,Ninguna,False
Política,"<![CDATA[Keiko Fujimori dice que tendrá un Gabinete Ministerial “amplio, plural y con experiencia”  ]]>","A falta de contabilizar poco más de 30 mil votos (cuando la distancia que le lleva a Roberto Sánchez, de Juntos por el Perú es de más de 44 mil votos), la candidata presidencial de Fuerza Popular, Keiko Fujimori, remarcó que su primer Gabinete Ministerial tendrá “una convocatoria amplia, abierta plural, pero sobre todo con experiencia”.",,,Ninguna,False
Política,<![CDATA[Misión electoral de la Unión Europea rechaza “narrativa de fraude sin pruebas” ]]>,La Misión de Observación Electoral de la Unión Europea (MOE UE) mostró su rechazo a lo que consideró una “narrativa de fraude sin pruebas” durante las Elecciones Generales 2026.,,,Ninguna,False
Política,"<![CDATA[PJ dispone transferir 4 inmuebles y una cuenta bancaria registradas a nombre de Toledo, Eliane Karp y Eva Fernenbug en favor del Estado]]>","El Segundo Juzgado Permanente Especializado en Extinción de Dominio de Lima declaró fundada demanda contra Alejandro Toledo, Eliane Karp y Eva Fernenbug, y dispuso transferir cuatro inmuebles y una cuenta bancaria registradas a su nombre en favor del Estado.",,,Ninguna,False
Política,<![CDATA[Concluye último Pleno del Congreso unicameral y se prepara a dar paso al Senado y la Cámara de diputados]]>,"El Congreso de la República realizó este jueves su último Pleno bajo el modelo unicameral, poniendo fin a una etapa de 33 años de funcionamiento con una sola cámara legislativa y abriendo paso al retorno de la bicameralidad, que entrará en vigencia con la instalación del próximo Parlamento en julio de 2026.",,,Ninguna,False
Política,<![CDATA[Gremios mypes y pymes exigen al JNE acelerar proclamación de resultados de la segunda vuelta]]>,,,,Ninguna,False
Política,<![CDATA[JNE declara infundado recurso de Juntos por el Perú para anular resultados de 1751 mesas de votación]]>,"El Jurado Nacional de Elecciones (JNE) rechazó el recurso presentado por Juntos por el Perú para anular los resultados del escrutinio en 1,751 mesas de sufragio de todo el país correspondientes a la segunda vuelta presidencial de las Elecciones Generales 2026.",,,Ninguna,False
Política,<![CDATA[Ladran Sánchez]]>,"El congresista, y aún candidato presidencial, Roberto Sánchez dijo el martes último que no reconocerá el eventual (y ya inminente) gobierno de Keiko Fujimori por haber existido “una grave afectación” del proceso electoral. No brinda evidencias de una aseveración tan grave, pero cumple su cometido: proyectar sombras sobre comicios que le fueron adversos, afectar la legitimidad del gobierno de su contendiente y, fundamentalmente, ganar iniciativa política.",,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 99.744% de la segunda vuelta de Ucayali y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Puno y conteo oficial de votos en vivo]]>,,,,Ninguna,False
Política,<![CDATA[JNE: “Del 3 al 7 de julio se daría la proclamación de los resultados”]]>,"El Jurado Nacional de Elecciones (JNE) prevé que la proclamación de los resultados electorales se realice entre el 3 y el 7 de julio, una vez que culminen los procedimientos vinculados a las actas observadas que aún se encuentran en trámite.",,,Ninguna,False
Política,<![CDATA[JNE declara infundadas 23 apelaciones de Juntos por el Perú sobre actas observadas]]>,"El Jurado Nacional de Elecciones (JNE) rechazó este miércoles 23 apelaciones presentadas por Juntos por el Perú relacionadas con actas observadas de la segunda elección presidencial, en una jornada en la que el máximo órgano electoral resolvió un total de 42 expedientes vinculados a las Elecciones Generales 2026.",,,Ninguna,False
Política,<![CDATA[Pleno del Congreso aprueba homologar ingresos de miembros de la JNJ con jueces supremos pasando a ganar más de 40 mil soles]]>,"El Pleno del Congreso de la República aprobó este martes, con 62 votos a favor, 17 en contra y 7 abstenciones, el dictamen presentado por la Comisión de Presupuesto y Cuenta General de la República que establece la homologación de los ingresos de los miembros titulares de la Junta Nacional de Justicia (JNJ) con los de los jueces supremos de la Corte Suprema.",,,Ninguna,False
Política,<![CDATA[Diez virtuales congresistas de Juntos por el Perú cargan con sentencias e investigaciones ]]>,"Juntos por el Perú, que ingresó al actual Congreso con solo cinco parlamentarios elegidos, pasará a ser la segunda minoría en el nuevo Parlamento bicameral. El partido del candidato presidencial Roberto Sánchez tendrá a 14 senadores y 32 diputados. No obstante, al menos diez de los virtuales congresistas de la agrupación de izquierda arrastran sentencias e investigaciones [ver recuadro].",,,Ninguna,False
Política,"<![CDATA[Partidos juegan sus cartas para teniente alcalde de Lima: excandidato presidencial, exministros y exfuncionarios buscan el cargo]]>","Elecciones alcaldía de Lima | Partidos juegan sus cartas para teniente alcalde de Lima: excandidatos presidenciales, exministros y exfuncionarios buscan el cargo",,,Ninguna,False
